Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
District of Columbia,2020,11,2020-03-14,114,101,0,32,,,,,,,0,20,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
District of Columbia,2020,12,2020-03-21,129,112,,29,,,,,0,,0,24,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
District of Columbia,2020,13,2020-03-28,130,115,,21,,,,,,0,,34,11,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
District of Columbia,2020,14,2020-04-04,156,139,,22,,,0,,,0,0,31,,25,25,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
District of Columbia,2020,15,2020-04-11,194,173,,35,,,,,0,,,38,10,37,37,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
District of Columbia,2020,16,2020-04-18,202,175,,22,,,,,,,,39,,59,59,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,17,2020-04-25,242,222,,26,,,,,0,,,37,11,90,90,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
District of Columbia,2020,18,2020-05-02,215,185,,25,,,,,0,,0,33,,75,75,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
District of Columbia,2020,19,2020-05-09,214,188,,19,,,,,,,,28,,86,86,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,20,2020-05-16,185,168,,16,,0,,,,,,22,,71,71,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,21,2020-05-23,181,159,,31,,,,,0,,,36,,49,46,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,22,2020-05-30,169,144,,23,,0,,,,0,0,33,,42,42,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
District of Columbia,2020,23,2020-06-06,149,132,,18,,0,,,,,0,27,,38,36,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
District of Columbia,2020,24,2020-06-13,146,124,,17,0,,,,0,0,,30,10,30,30,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,
District of Columbia,2020,25,2020-06-20,132,118,,22,,,,,0,,,24,,28,25,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,26,2020-06-27,130,105,,19,,,0,,,0,,24,,19,18,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,27,2020-07-04,122,95,,18,,,0,,0,,0,21,,16,13,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
District of Columbia,2020,28,2020-07-11,138,112,,27,,,,,,0,,28,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
District of Columbia,2020,29,2020-07-18,121,105,,23,,0,,,0,,0,26,,13,10,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
District of Columbia,2020,30,2020-07-25,123,101,,24,,0,0,,,,,28,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
District of Columbia,2020,31,2020-08-01,130,117,0,24,,,,,0,,,36,12,10,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
District of Columbia,2020,32,2020-08-08,118,91,0,14,,,,,,0,,19,11,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
District of Columbia,2020,33,2020-08-15,117,100,,22,,0,,,,,,23,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
District of Columbia,2020,34,2020-08-22,113,89,0,22,,,0,,,,0,24,,11,10,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
District of Columbia,2020,35,2020-08-29,140,117,,22,,,,,,,0,31,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
District of Columbia,2020,36,2020-09-05,143,115,,19,,,,,,,,33,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
District of Columbia,2020,37,2020-09-12,125,106,,22,,,,,0,0,0,31,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
District of Columbia,2020,38,2020-09-19,109,88,,17,,0,,,0,,,22,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
District of Columbia,2020,39,2020-09-26,112,96,0,18,,,,,,,,34,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
District of Columbia,2020,40,2020-10-03,138,112,,23,,0,,,,,,21,,10,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9)
District of Columbia,2020,41,2020-10-10,146,123,,24,,,,,0,,,26,13,14,12,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
District of Columbia,2020,42,2020-10-17,118,103,,22,,,0,,,0,0,18,12,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
District of Columbia,2020,43,2020-10-24,105,90,0,23,,,,,0,,0,21,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
District of Columbia,2020,44,2020-10-31,128,113,,24,,,,,0,,,33,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
District of Columbia,2020,45,2020-11-07,137,111,,27,0,,,,,0,0,31,11,12,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9)
District of Columbia,2020,46,2020-11-14,130,107,,22,,,,,,0,0,25,,10,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9)
District of Columbia,2020,47,2020-11-21,135,122,,21,,,,,,,0,30,,16,16,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
District of Columbia,2020,48,2020-11-28,120,104,,25,,0,,,,,,17,,15,12,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,49,2020-12-05,153,134,,26,,,0,,,0,,34,11,20,17,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
District of Columbia,2020,50,2020-12-12,175,150,,21,,,,0,0,,,47,,21,19,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,51,2020-12-19,144,132,,21,,0,0,,,,,36,,34,28,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,52,2020-12-26,165,146,,24,,,0,,,,,33,,40,36,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,53,2021-01-02,178,169,,21,,,,,0,,,39,10,36,33,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
District of Columbia,2021,1,2021-01-09,173,146,,25,,0,0,,0,,,37,,36,33,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2021,2,2021-01-16,168,154,,25,,,,,,,,40,,41,29,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2021,3,2021-01-23,159,131,,20,,,0,,,,,40,10,34,20,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
District of Columbia,2021,4,2021-01-30,178,156,,21,,,0,,,,0,39,,49,41,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
District of Columbia,2021,5,2021-02-06,164,136,,23,,0,,,0,,0,23,13,43,31,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,
District of Columbia,2021,6,2021-02-13,152,132,0,25,,0,,,,,,39,,31,18,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2021,7,2021-02-20,167,145,,25,,,,,,,,38,,23,17,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2021,8,2021-02-27,143,130,,21,,,0,,0,0,,28,,29,24,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2021,9,2021-03-06,133,120,,25,,0,0,,,,,24,,22,17,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2021,10,2021-03-13,123,112,,22,0,,,0,0,,10,23,,13,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9)
District of Columbia,2021,11,2021-03-20,142,127,,19,,0,,,,,10,38,11,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
District of Columbia,2021,12,2021-03-27,133,120,,26,,0,,,0,0,21,24,,12,11,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,
District of Columbia,2021,13,2021-04-03,119,104,0,19,,0,,,,,21,11,,16,14,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
District of Columbia,2021,14,2021-04-10,152,138,,25,,,,,,,20,30,,16,12,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
District of Columbia,2021,15,2021-04-17,112,103,,18,,0,,,,,11,24,,17,14,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
District of Columbia,2021,16,2021-04-24,113,101,,17,0,,,,,0,12,15,,10,10,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
District of Columbia,2021,17,2021-05-01,95,87,0,15,,,,,,0,14,19,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
District of Columbia,2021,18,2021-05-08,65,60,0,11,,,,,,,,11,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
District of Columbia,2021,19,2021-05-15,60,60,0,15,0,0,0,,0,,11,,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Florida,2020,1,2020-01-04,4341,3928,60,873,136,127,87,265,59,75,54,1014,277,0,0,,,,,,,,,,,,,,,
Florida,2020,2,2020-01-11,4410,3997,54,894,132,124,87,287,63,55,59,1023,317,0,0,,,,,,,,,,,,,,,
Florida,2020,3,2020-01-18,4385,3992,54,867,121,129,76,287,66,72,73,1000,344,0,0,,,,,,,,,,,,,,,
Florida,2020,4,2020-01-25,4387,4012,54,929,124,144,91,282,55,66,65,1003,301,0,0,,,,,,,,,,,,,,,
Florida,2020,5,2020-02-01,4419,4034,56,889,153,141,76,268,66,69,74,993,312,0,0,,,,,,,,,,,,,,,
Florida,2020,6,2020-02-08,4385,4012,47,878,160,142,79,255,65,76,63,1062,289,0,0,,,,,,,,,,,,,,,
Florida,2020,7,2020-02-15,4358,3952,54,884,131,122,87,285,65,77,53,1021,297,0,0,,,,,,,,,,,,,,,
Florida,2020,8,2020-02-22,4416,3975,66,925,136,126,80,253,61,68,63,956,327,0,0,,,,,,,,,,,,,,,
Florida,2020,9,2020-02-29,4399,3991,49,883,121,127,80,263,60,73,67,1046,297,0,0,,,,,,,,,,,,,,,
Florida,2020,10,2020-03-07,4520,4105,45,925,148,131,91,286,42,65,76,1007,310,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Florida,2020,11,2020-03-14,4435,4003,49,926,125,127,85,273,65,80,66,980,331,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Florida,2020,12,2020-03-21,4362,3906,63,890,131,129,101,276,60,61,59,954,275,17,16,,,,,,,,,,,,,,,
Florida,2020,13,2020-03-28,4461,4039,60,934,149,128,88,249,76,43,74,959,303,92,91,,,,,,,,,,,,,,,
Florida,2020,14,2020-04-04,4497,4099,63,883,138,123,91,256,58,51,70,974,312,219,210,,,,,,,,,,,,,,,
Florida,2020,15,2020-04-11,4544,4130,49,913,149,132,72,235,50,64,74,942,282,304,288,,,,,,,,,,,,,,,
Florida,2020,16,2020-04-18,4416,4021,54,847,164,150,60,226,41,58,46,911,296,311,297,,,,,,,,,,,,,,,
Florida,2020,17,2020-04-25,4555,4132,49,865,148,158,60,255,36,55,66,931,315,326,294,,,,,,,,,,,,,,,
Florida,2020,18,2020-05-02,4352,3892,52,861,157,142,50,204,49,48,52,849,297,308,279,,,,,,,,,,,,,,,
Florida,2020,19,2020-05-09,4407,3948,57,861,139,119,61,216,52,68,44,931,259,290,257,,,,,,,,,,,,,,,
Florida,2020,20,2020-05-16,4279,3858,47,867,137,132,57,233,38,57,62,889,292,257,219,,,,,,,,,,,,,,,
Florida,2020,21,2020-05-23,4360,3893,45,867,152,132,53,216,41,57,50,947,265,236,200,,,,,,,,,,,,,,,
Florida,2020,22,2020-05-30,4211,3769,45,822,137,133,45,187,45,70,46,893,271,230,193,,,,,,,,,,,,,,,
Florida,2020,23,2020-06-06,4265,3830,43,883,117,142,49,211,45,68,58,899,285,223,172,,,,,,,,,,,,,,,
Florida,2020,24,2020-06-13,4256,3827,40,825,126,116,49,203,48,53,60,944,301,193,162,,,,,,,,,,,,,,,
Florida,2020,25,2020-06-20,4408,3958,37,864,152,131,48,219,43,59,56,915,312,221,192,,,,,,,,,,,,,,,
Florida,2020,26,2020-06-27,4504,4044,51,832,134,132,44,217,52,57,68,954,298,324,270,,,,,,,,,,,,,,,
Florida,2020,27,2020-07-04,4725,4276,49,879,163,146,62,203,50,63,58,997,273,466,410,,,,,,,,,,,,,,,
Florida,2020,28,2020-07-11,5084,4649,58,861,168,128,54,238,52,64,67,1048,297,785,703,,,,,,,,,,,,,,,
Florida,2020,29,2020-07-18,5509,5058,58,807,181,167,65,221,55,65,78,988,324,1183,1063,,,,,,,,,,,,,,,
Florida,2020,30,2020-07-25,5704,5270,46,888,170,164,63,217,47,52,65,1031,318,1415,1267,,,,,,,,,,,,,,,
Florida,2020,31,2020-08-01,5791,5356,40,890,151,183,62,228,38,58,67,1025,316,1514,1361,,,,,,,,,,,,,,,
Florida,2020,32,2020-08-08,5585,5141,40,904,139,151,44,208,48,65,77,963,294,1404,1256,,,,,,,,,,,,,,,
Florida,2020,33,2020-08-15,5511,5054,52,876,137,166,50,222,40,78,71,986,338,1185,1058,,,,,,,,,,,,,,,
Florida,2020,34,2020-08-22,5202,4806,42,876,174,150,65,228,50,55,70,962,303,957,860,,,,,,,,,,,,,,,
Florida,2020,35,2020-08-29,5013,4598,51,857,153,164,49,201,48,64,63,968,298,805,722,,,,,,,,,,,,,,,
Florida,2020,36,2020-09-05,4758,4295,56,833,140,143,46,208,52,67,51,957,295,656,579,,,,,,,,,,,,,,,
Florida,2020,37,2020-09-12,4513,4064,64,838,133,119,60,197,42,44,60,883,286,525,462,,,,,,,,,,,,,,,
Florida,2020,38,2020-09-19,4667,4209,48,904,143,138,52,194,50,57,63,979,266,434,382,,,,,,,,,,,,,,,
Florida,2020,39,2020-09-26,4444,4023,54,880,137,150,44,188,52,60,64,895,292,423,360,,,,,,,,,,,,,,,
Florida,2020,40,2020-10-03,4346,3965,55,883,132,122,43,201,41,73,90,889,245,318,287,,,,,,,,,,,,,,,
Florida,2020,41,2020-10-10,4525,4086,49,841,160,137,52,197,44,59,72,897,315,337,290,,,,,,,,,,,,,,,
Florida,2020,42,2020-10-17,4389,3990,46,907,137,132,57,203,49,64,56,880,262,332,297,,,,,,,,,,,,,,,
Florida,2020,43,2020-10-24,4335,3935,42,879,132,146,38,195,50,61,57,906,296,291,262,,,,,,,,,,,,,,,
Florida,2020,44,2020-10-31,4265,3889,44,852,138,112,55,188,40,55,68,870,281,308,265,,,,,,,,,,,,,,,
Florida,2020,45,2020-11-07,4305,3861,36,836,136,126,43,175,35,61,68,927,282,304,268,,,,,,,,,,,,,,,
Florida,2020,46,2020-11-14,4487,4091,47,852,153,136,53,219,44,59,53,926,296,401,367,,,,,,,,,,,,,,,
Florida,2020,47,2020-11-21,4561,4138,64,858,177,132,52,208,45,56,70,935,296,406,358,,,,,,,,,,,,,,,
Florida,2020,48,2020-11-28,4634,4220,66,862,137,142,52,208,58,51,80,917,281,498,446,,,,,,,,,,,,,,,
Florida,2020,49,2020-12-05,4911,4479,52,859,153,143,56,228,65,55,80,988,341,592,526,,,,,,,,,,,,,,,
Florida,2020,50,2020-12-12,5085,4671,38,899,162,149,59,249,48,76,72,1019,335,584,533,,,,,,,,,,,,,,,
Florida,2020,51,2020-12-19,4944,4597,65,891,145,146,50,230,48,49,81,965,345,657,594,,,,,,,,,,,,,,,
Florida,2020,52,2020-12-26,5137,4719,61,915,162,140,54,224,45,66,83,1002,304,782,714,,,,,,,,,,,,,,,
Florida,2020,53,2021-01-02,5708,5262,72,908,179,179,76,244,52,74,87,1139,359,948,855,,,,,,,,,,,,,,,
Florida,2021,1,2021-01-09,5496,5073,61,854,183,138,68,228,61,91,88,1044,313,1061,970,,,,,,,,,,,,,,,
Florida,2021,2,2021-01-16,5923,5513,60,908,189,147,76,251,58,72,112,1104,348,1230,1110,,,,,,,,,,,,,,,
Florida,2021,3,2021-01-23,5663,5219,51,878,176,153,40,242,48,74,84,1039,352,1217,1120,,,,,,,,,,,,,,,
Florida,2021,4,2021-01-30,5486,5075,65,887,177,126,80,219,63,71,114,1000,292,1062,950,,,,,,,,,,,,,,,
Florida,2021,5,2021-02-06,5570,5124,63,896,155,135,60,204,63,86,133,1124,315,1034,942,,,,,,,,,,,,,,,
Florida,2021,6,2021-02-13,5457,5019,65,937,149,158,60,213,60,80,110,1024,325,873,796,,,,,,,,,,,,,,,
Florida,2021,7,2021-02-20,5118,4698,45,902,164,148,54,204,59,63,124,975,331,724,641,,,,,,,,,,,,,,,
Florida,2021,8,2021-02-27,4890,4501,68,898,157,136,45,196,65,71,130,991,304,596,523,,,,,,,,,,,,,,,
Florida,2021,9,2021-03-06,4814,4426,53,889,156,118,60,211,50,72,169,972,283,520,459,,,,,,,,,,,,,,,
Florida,2021,10,2021-03-13,4634,4284,53,890,142,133,51,196,40,61,178,903,301,436,380,,,,,,,,,,,,,,,
Florida,2021,11,2021-03-20,4579,4205,58,865,145,112,49,215,58,67,184,917,312,394,348,,,,,,,,,,,,,,,
Florida,2021,12,2021-03-27,4721,4368,57,887,151,126,46,217,43,73,213,992,304,344,291,,,,,,,,,,,,,,,
Florida,2021,13,2021-04-03,4468,4144,43,903,156,138,48,192,45,53,232,909,262,352,314,,,,,,,,,,,,,,,
Florida,2021,14,2021-04-10,4681,4327,42,908,136,120,43,226,48,61,273,965,318,297,257,,,,,,,,,,,,,,,
Florida,2021,15,2021-04-17,4613,4295,59,943,147,120,46,208,45,52,317,876,250,333,290,,,,,,,,,,,,,,,
